PyScript,Total Memory(MB),Total Time(s)
example.py,95.191406,1.690
plot_face_recognition.py,169.546875,29.018
plot_outlier_detection_wine.py,175.953125,1.691
plot_out_of_core_classification.py,169.808594,23.949
plot_prediction_latency.py,174.386719,13.999
plot_species_distribution_modeling.py,499.085938,7.900
plot_stock_market.py,180.746094,28.502
plot_tomography_l1_reconstruction.py,147.027344,11.199
plot_topics_extraction_with_nmf_lda.py,236.84375,12.797
plot_bicluster_newsgroups.py,208.949219,16.034
plot_spectral_biclustering.py,152.792969,1.081
plot_spectral_coclustering.py,151.878906,0.396
plot_calibration_curve.py,211.589844,2.916
plot_calibration_multiclass.py,155.335938,1.468
plot_calibration.py,153.007812,0.342
plot_compare_calibration.py,185.949219,1.523
plot_classification_probability.py,203.21875,2.459
plot_classifier_comparison.py,275.640625,7.308
plot_lda.py,141.445312,13.741
plot_lda_qda.py,148.527344,0.561
plot_adjusted_for_chance_measures.py,133.074219,1.522
plot_affinity_propagation.py,148.996094,0.693
plot_agglomerative_clustering.py,165.15625,2.094
plot_agglomerative_clustering_metrics.py,184.839844,1.154
plot_agglomerative_dendrogram.py,145.644531,0.024
plot_birch_vs_minibatchkmeans.py,280.328125,24.155
plot_coin_segmentation.py,167.730469,8.474
plot_coin_ward_segmentation.py,158.617188,0.647
plot_color_quantization.py,283.992188,1.761
plot_dbscan.py,146.53125,0.055
plot_dict_face_patches.py,186.074219,11.464
plot_digits_agglomeration.py,148.929688,1.914
plot_digits_linkage.py,349.992188,35.930
plot_face_compress.py,205.199219,3.872
plot_feature_agglomeration_vs_univariate_selection.py,150.644531,2.285
plot_inductive_clustering.py,349.398438,3.547
plot_kmeans_assumptions.py,146.628906,1.803
plot_kmeans_digits.py,592.320312,4.639
plot_kmeans_plusplus.py,145.324219,1.507
plot_kmeans_silhouette_analysis.py,154.3125,3.137
plot_kmeans_stability_low_dim_dense.py,143.757812,12.245
plot_linkage_comparison.py,174.773438,3.749
plot_mean_shift.py,145.8125,2.177
plot_mini_batch_kmeans.py,146.6875,1.794
plot_optics.py,148.078125,3.470
plot_segmentation_toy.py,148.292969,2.592
plot_ward_structured_vs_unstructured.py,151.261719,1.898
plot_column_transformer_mixed_types.py,111.050781,5.461
plot_column_transformer.py,189.066406,4.571
plot_compare_reduction.py,149.191406,16.124
plot_digits_pipe.py,175.273438,26.241
plot_feature_union.py,84.054688,2.089
plot_transformed_target.py,196.328125,5.021
plot_covariance_estimation.py,138.628906,2.503
plot_lw_vs_oas.py,137.660156,5.345
plot_mahalanobis_distances.py,139.824219,2.340
plot_robust_vs_empirical_covariance.py,138.117188,6.478
plot_sparse_cov.py,144.472656,3.193
plot_compare_cross_decomposition.py,133.1875,1.598
plot_pcr_vs_pls.py,143.945312,2.268
plot_digits_last_image.py,138.011719,1.847
plot_iris_dataset.py,141.242188,1.828
plot_random_dataset.py,135.539062,1.721
plot_random_multilabel_dataset.py,134.332031,1.655
plot_beta_divergence.py,136.726562,2.084
plot_faces_decomposition.py,226.128906,14.277
plot_ica_blind_source_separation.py,145.0,2.550
plot_ica_vs_pca.py,142.949219,1.968
plot_image_denoising.py,324.398438,61.207
plot_incremental_pca.py,140.546875,1.870
plot_kernel_pca.py,160.429688,2.859
plot_pca_vs_fa_model_selection.py,144.789062,116.971
plot_pca_vs_lda.py,141.332031,1.792
plot_sparse_coding.py,150.796875,2.504
plot_varimax_fa.py,148.574219,3.036
plot_adaboost_hastie_10_2.py,146.671875,8.550
plot_adaboost_multiclass.py,148.722656,18.595
plot_adaboost_regression.py,141.804688,2.158
plot_adaboost_twoclass.py,178.832031,5.772
plot_bias_variance.py,147.589844,3.136
plot_ensemble_oob.py,146.691406,22.110
plot_feature_transformation.py,192.617188,5.283
plot_forest_importances_faces.py,182.625,3.676
plot_forest_importances.py,178.671875,4.811
plot_forest_iris.py,228.410156,12.204
plot_gradient_boosting_categorical.py,191.054688,21.611
plot_gradient_boosting_early_stopping.py,149.085938,76.161
